region,prov,municity,percent_cnt,percent_amt,target_cnt_4p,target_cnt_n4p,total_cnt_target,actual_cnt_4p,actual_cnt_n4p,total_cnt_actual,target_amt_4p,target_amt_n4p,total_amt_target,actual_amt_4p,actual_amt_n4p,total_amt_actual,actual_amt_lgu_n4p
BARMM,,,0.9170080422,0.9528041997,325975,180979,490662,288554,173001,449941,1189808750,904895000,2013243750,1053222100,865005000,1918227100,904895000
CAR,,,0.9457911612,0.941856557,57190,205424,262614,57180,191198,248378,237338500,1129832000,1367170500,237297000,1050381500,1287678500,1083423000
CARAGA,,,0.9972436994,0.9963869988,190133,305096,495229,188768,305096,493864,694018300,1525480000,2219498300,685999250,1525480000,2211479250,1525480000
I,,,0.9830879461,0.9822230154,205764,793405,999169,205627,776644,982271,853920600,4363727500,5217648100,853352050,4271542000,5124894050,4363727500
II,,,0.9649127131,0.9628129771,105536,584258,689794,104306,561285,665591,437974400,3213419000,3651393400,428541450,3087067500,3515608950,3213419000
III,,,0.9909052107,0.9910436513,295190,1515847,1811037,291339,1503227,1794566,1520228500,9853005500,11373234000,1500395850,9770975500,11271371350,9811184500
IV-A,,,0.9899562553,0.9896664359,311809,1944919,2256728,311736,1922326,2234062,1605816350,12641973500,14247789850,1605440400,12495119000,14100559400,12641973500
IV-B,,,0.9628885069,0.9600875995,195101,416246,611347,193656,395003,588659,712118650,2081230000,2793348650,706844400,1975015000,2681859400,2077445000
IX,,,0.9898475316,0.9941761621,313488,403185,716673,309239,400158,709397,1083637550,2015925000,3099562550,1080721200,2000790000,3081511200,2007170000
NCR,,,0.990998389,0.9913300993,227843,1558615,1786458,222356,1548021,1770377,1515155950,12468920000,13984075950,1478667400,12384168000,13862835400,12468920000
V,,,0.9938567576,0.995086532,368967,772287,1141254,361956,772287,1134243,1346729550,3861435000,5208164550,1321139400,3861435000,5182574400,3861435000
VI,,,0.9705148103,0.9693053975,322313,1153784,1476097,320354,1112220,1432574,1498755450,6922704000,8421459450,1489646100,6673320000,8162966100,6922704000
VII,,,0.9701756965,0.9691034193,288679,1058075,1346754,286178,1020410,1306588,1342357350,6348450000,7690807350,1330727700,6122460000,7453187700,6343218000
VIII,,,0.9411410823,0.9371564181,281564,596094,877658,276822,549178,826000,1027708600,2980470000,4008178600,1010400300,2745890000,3756290300,2980470000
X,,,0.993787797,0.9939214798,270472,628243,898715,267648,625484,893132,1257694800,3769458000,5027152800,1244563200,3752031950,4996595150,3769458000
