ADM_ID,ADM1_PCODE,ADM1_EN,ADM2_PCODE,ADM2_EN,ADM3_PCODE,ADM3_EN,LATITUDE,LONGITUDE,AREA,PERIMETER
21523000,PH020000000,Region II,PH021500000,Cagayan,PH021523000,Santa Ana,18.393,122.221,434780193.1,198766.879
51711000,PH050000000,Region V,PH051700000,Camarines Sur,PH051711000,Caramoan,13.798,123.833,273676443.7,294694.792
97332000,PH090000000,Region IX,PH097300000,Zamboanga del Sur,PH097332000,Zamboanga City,7.156,122.145,1497154802.0,521649.107
97338000,PH090000000,Region IX,PH097300000,Zamboanga del Sur,PH097338000,Pitogo,7.447,123.339,74146990.34,86993.113
98308000,PH090000000,Region IX,PH098300000,Zamboanga Sibugay,PH098308000,Malangas,7.62,123.008,121091469.7,113381.704
150712000,PH150000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150700000,Basilan,PH150712000,Hadji Muhtamad,6.675,121.59,53577829.2,144898.302
156612000,PH150000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH156600000,Sulu,PH156612000,Siasi,5.537,120.862,83154260.8,186092.58
156614000,PH150000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH156600000,Sulu,PH156614000,Tapul,5.711,120.96,56285520.8,111369.252
156615000,PH150000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH156600000,Sulu,PH156615000,Tongkil,6.049,121.749,128072973.6,290081.42
157001000,PH150000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH157000000,Tawi-Tawi,PH157001000,Panglima Sugala,5.14,120.003,233960248.6,326235.117
157003000,PH150000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH157000000,Tawi-Tawi,PH157003000,Mapun,7.009,118.477,71199559.17,113365.732
157006000,PH150000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH157000000,Tawi-Tawi,PH157006000,South Ubian,5.28,120.561,31682709.11,142092.716
157007000,PH150000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH157000000,Tawi-Tawi,PH157007000,Tandubas,5.222,120.241,220678934.3,388463.62
157009000,PH150000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH157000000,Tawi-Tawi,PH157009000,Languyan,5.261,120.091,230899497.9,285892.04
166706000,PH160000000,Region XIII,PH166700000,Surigao del Norte,PH166706000,Claver,9.475,125.786,286300984.7,109802.213
175307000,PH170000000,Region IV-B,PH175300000,Palawan,PH175307000,Busuanga,12.173,119.957,404538678.6,354291.178
175309000,PH170000000,Region IV-B,PH175300000,Palawan,PH175309000,Coron,12.053,120.175,694415349.0,740705.103
175314000,PH170000000,Region IV-B,PH175300000,Palawan,PH175314000,Magsaysay,10.887,121.055,47531596.46,99638.311
15503000,PH010000000,Region I,PH015500000,Pangasinan,PH015503000,City of Alaminos,16.152,119.978,161781473.2,165240.287
15505000,PH010000000,Region I,PH015500000,Pangasinan,PH015505000,Anda,16.293,119.976,77642581.31,98744.294
15514000,PH010000000,Region I,PH015500000,Pangasinan,PH015514000,Bolinao,16.323,119.872,206074850.8,119000.669
15519000,PH010000000,Region I,PH015500000,Pangasinan,PH015519000,Dasol,15.947,119.898,177581626.1,103321.692
