region,prov,municity,percent_cnt,percent_amt,target_cnt_4p,target_cnt_n4p,total_cnt_target,actual_cnt_4p,actual_cnt_n4p,total_cnt_actual,target_amt_4p,target_amt_n4p,total_amt_target,actual_amt_4p,actual_amt_n4p,total_amt_actual,actual_amt_lgu_n4p
BARMM,,,0.9239231895,0.9601144173,325975,180979,490662,290219,174729,453334,1189808750,904895000,2013243750,1059299350,873645000,1932944350,904895000
CAR,,,0.9517327205,0.9480837879,57190,204768,261958,57180,192134,249314,237338500,1126224000,1363562500,237297000,1055474500,1292771500,1083423000
CARAGA,,,0.9972436994,0.9963869988,190133,305096,495229,188768,305096,493864,694018300,1525480000,2219498300,685999250,1525480000,2211479250,1525480000
I,,,0.9906732495,0.9884465282,205764,793405,999169,212451,777399,989850,853920600,4363727500,5217648100,881671650,4275694500,5157366150,4363727500
II,,,0.9698054782,0.9673031808,105536,584258,689794,104700,564266,668966,437974400,3213419000,3651393400,428541450,3103463000,3532004450,3213419000
III,,,0.9913436287,0.9914966271,295189,1515847,1811036,291341,1504018,1795359,1520228500,9853005500,11373234000,1500406150,9776117000,11276523150,9811184500
IV-A,,,0.9925285635,0.9923141729,311809,1944919,2256728,311742,1928125,2239867,1605816350,12641973500,14247789850,1605471300,12532812500,14138283800,12641973500
IV-B,,,0.9636752941,0.9607518739,195101,416246,611347,194063,395077,589140,712118650,2081230000,2793348650,708329950,1975385000,2683714950,2077445000
IX,,,0.9898503223,0.9751135719,313488,403185,716673,309241,400158,709399,1144231200,2015925000,3160156200,1080721200,2000790000,3081511200,2007170000
NCR,,,0.9967068915,0.9971541237,227843,1558615,1786458,222460,1558115,1780575,1515155950,12468920000,13984075950,1479359000,12464920000,13944279000,12468920000
V,,,0.9938567576,0.995086532,368967,772287,1141254,361956,772287,1134243,1346729550,3861435000,5208164550,1321139400,3861435000,5182574400,3861435000
VI,,,0.9814077259,0.9807611316,322313,1153784,1476097,320354,1128299,1448653,1498755450,6922704000,8421459450,1489646100,6769794000,8259440100,6922704000
VII,,,0.9731138723,0.9721904814,288679,1058075,1346754,286178,1024367,1310545,1342357350,6348450000,7690807350,1330727700,6146202000,7476929700,6343218000
VIII,,,0.9446310522,0.9403852413,281564,596094,877658,278580,550483,829063,1027708600,2980470000,4008178600,1016817000,2752415000,3769232000,2980470000
X,,,0.9953130597,0.9953955868,267864,628243,896107,265656,626251,891907,1245567600,3769458000,5015025600,1235300400,3756633950,4991934350,3769458000
XI,,,0.9989024309,0.9990923497,265646,685547,951193,264602,685547,950149,1235253900,4113282000,5348535900,1230399300,4113282000,5343681300,4113282000
XII,,,0.9926180304,0.9935752124,250438,668287,918725,245572,666371,911943,914098700,3341435000,4255533700,896337800,3331855000,4228192800,3341435000
CAR,ABRA,,0.9502415277,0.9429144687,12044,40952,52996,12044,38315,50359,49982600,225236000,275218600,49982600,209525000,259507600,225197500
CARAGA,AGUSAN DEL NORTE,,0.9982633779,0.997153244,39841,96055,135896,39605,96055,135660,145419650,480275000,625694650,143638450,480275000,623913450,480275000
CARAGA,AGUSAN DEL SUR,,0.9944529952,0.9929472166,61351,69891,131242,60623,69891,130514,223964000,349455000,573419000,219919800,349455000,569374800,349455000
VI,AKLAN,,0.9876119115,0.9859316371,28098,65056,93154,28035,63965,92000,131153250,390336000,521489250,130362750,383790000,514152750,390336000
V,ALBAY,,0.9924145777,0.9939490792,77370,168760,246130,75503,168760,244263,282400500,843800000,1126200500,275585950,843800000,1119385950,843800000
VI,ANTIQUE,,0.9890177482,0.988535286,29143,71656,100799,29008,70684,99692,135538200,429936000,565474200,134887200,424104000,558991200,429936000
CAR,APAYAO,,0.8947723289,0.8854570841,7371,14876,22247,7371,12535,19906,30589650,81818000,112407650,30589650,68942500,99532150,68942500
III,AURORA,,0.9902004008,0.9899768094,9051,40849,49900,9014,40397,49411,46612650,265518500,312131150,46422100,262580500,309002600,263796000
BARMM,BASILAN,,0.629310853,0.6483169241,28966,4960,33926,16391,4959,21350,105725900,24800000,130525900,59827150,24795000,84622150,24800000
III,BATAAN,,0.9665109782,0.9654977721,17877,96668,114545,17819,92890,110709,92066550,628342000,720408550,91767850,603785000,695552850,624663000
II,BATANES,,0.3018921209,0.3018921209,0,3541,3541,0,1069,1069,0,19475500,19475500,0,5879500,5879500,19475500
IV-A,BATANGAS,,0.9999491337,0.9999578951,85127,327720,412847,85106,327720,412826,438404050,2130180000,2568584050,438295900,2130180000,2568475900,2130180000
CAR,BENGUET,,0.9600170424,0.9583935214,11057,64050,75107,11053,61051,72104,45886550,352275000,398161550,45869950,335725500,381595450,335973000
VIII,BILIRAN,,0.9410312959,0.9380281184,7175,30913,38088,7154,28688,35842,26188750,154565000,180753750,26112100,143440000,169552100,154565000
VII,BOHOL,,0.9816329547,0.9808975428,61824,181710,243534,61439,177622,239061,287481600,1090260000,1377741600,285691350,1065732000,1351423350,1090260000
X,BUKIDNON,,0.9967348165,0.9971673288,89958,182921,272879,89067,182921,271988,418304700,1097526000,1515830700,414161550,1097375300,1511536850,1097526000
III,BULACAN,,0.9932496744,0.9939968196,70648,396885,467533,68542,395835,464377,363837200,2579752500,2943589700,352991300,2572927500,2925918800,2572927500
II,CAGAYAN,,0.9754382957,0.9732351813,33607,199683,233290,33206,194354,227560,139469050,1098256500,1237725550,135651050,1068947000,1204598050,1098256500
V,CAMARINES NORTE,,0.9947396741,0.995870351,32342,92175,124517,31687,92175,123862,118048300,460875000,578923300,115657550,460875000,576532550,460875000
V,CAMARINES SUR,,0.995880296,0.9967101458,110769,237557,348326,109334,237557,346891,404306850,1187785000,1592091850,399069100,1187785000,1586854100,1187785000
X,CAMIGUIN,,0.981447633,0.9808163994,5801,16083,21884,5740,15738,21478,26974650,96498000,123472650,26691000,94413000,121104000,96498000
VI,CAPIZ,,0.9899566681,0.9885099207,38187,139742,177929,38116,138026,176142,178629750,838452000,1017081750,177239400,828156000,1005395400,838452000
V,CATANDUANES,,0.9991865982,0.9993527412,15800,35835,51635,15758,35835,51593,57670000,179175000,236845000,57516700,179175000,236691700,179175000
IV-A,CAVITE,,0.9999963384,0.9999970417,50882,495330,546212,50880,495330,546210,262042300,3219645000,3481687300,262032000,3219645000,3481677000,3219645000
VII,CEBU,,0.9785024583,0.9777258522,152519,598218,750737,151713,582885,734598,709213350,3589308000,4298521350,705465450,3497310000,4202775450,3589308000
XII,CITY OF COTABATO,,0.9880332378,0.9903082173,12487,21691,34178,12078,21691,33769,45577550,108455000,154032550,44084700,108455000,152539700,108455000
IX,CITY OF ISABELA,,0.998308352,0.9835592676,9123,16296,25419,9080,16296,25376,33298950,81480000,114778950,31411900,81480000,112891900,81480000
XII,COTABATO (NORTH COTABATO),,0.9956581555,0.9965755143,80968,212686,293654,79693,212686,292379,295533200,1063430000,1358963200,290879450,1063430000,1354309450,1063430000
XI,DAVAO DE ORO (COMPOSTELA VALLEY),,0.9988628694,0.999012676,65070,71238,136308,64915,71238,136153,302575500,427428000,730003500,301854750,427428000,729282750,427428000
XI,DAVAO DEL NORTE,,0.9995938331,0.9996593873,58924,115881,174805,58853,115881,174734,273996600,695286000,969282600,273666450,695286000,968952450,695286000
XI,DAVAO DEL SUR,,0.9989825136,0.9991856259,64819,395138,459957,64351,395138,459489,301408350,2370828000,2672236350,299232150,2370828000,2670060150,2370828000
XI,DAVAO OCCIDENTAL,,0.9970258615,0.9974201992,35025,38946,73971,34805,38946,73751,162866250,233676000,396542250,161843250,233676000,395519250,233676000
XI,DAVAO ORIENTAL,,0.998775341,0.9989586047,41808,64344,106152,41678,64344,106022,194407200,386064000,580471200,193802700,386064000,579866700,386064000
CARAGA,DINAGAT ISLANDS,,0.9983018679,1.218448259,9248,20785,30033,9197,20785,29982,33755200,103925000,137680200,63831200,103925000,167756200,103925000
VIII,EASTERN SAMAR,,0.992334236,0.9919074755,30614,60962,91576,30511,60363,90874,111741100,304810000,416551100,111365150,301815000,413180150,304810000
VI,GUIMARAS,,0.9983951089,0.9977380472,8294,17876,26170,8252,17876,26128,38701950,107256000,145957950,38371800,107256000,145627800,107256000
CAR,IFUGAO,,0.9472419636,0.943955462,9464,30075,39539,9463,27990,37453,39275600,165412500,204688100,39271450,153945000,193216450,156744500
I,ILOCOS NORTE,,0.9462719574,0.9440432788,19371,100008,119379,19371,93594,112965,80389650,550044000,630433650,80389650,514767000,595156650,550044000
I,ILOCOS SUR,,0.9851529966,0.984406391,27395,105157,132552,27371,103213,130584,113689250,578363500,692052750,113589650,567671500,681261150,578363500
VI,ILOILO,,0.9628549593,0.9614865377,92999,389838,482837,92483,372419,464902,432264000,2339028000,2771292000,430045950,2234514000,2664559950,2339028000
II,ISABELA,,0.9964936182,0.9954201705,48575,269987,318562,48181,269264,317445,201586250,1484928500,1686514750,197838800,1480952000,1678790800,1484928500
CAR,KALINGA,,0.9564023898,0.9530578021,10786,26372,37158,10786,24752,35538,44761900,145046000,189807900,44761900,136136000,180897900,140519500
I,LA UNION,,0.9697400454,0.9684623023,30909,152700,183609,30890,147163,178053,128272350,839850000,968122350,128193500,809396500,937590000,839850000
IV-A,LAGUNA,,0.995206398,0.9951198088,42326,448328,490654,42324,445978,488302,217978900,2914132000,3132110900,217968600,2898857000,3116825600,2914132000
X,LANAO DEL NORTE,,0.9940133774,0.9942166523,66916,116827,183743,66363,116280,182643,311159400,700962000,1012121400,308587950,697680000,1006267950,700962000
BARMM,LANAO DEL SUR,,0.9676163773,1.094687506,77927,53207,114842,74272,48465,111123,284433550,266035000,469008550,271092800,242325000,513417800,266035000
VIII,LEYTE,,0.9037941636,0.8972645186,122771,297796,420567,120329,259777,380106,448114150,1488980000,1937094150,439200850,1298885000,1738085850,1488980000
BARMM,MAGUINDANAO,,0.9794866177,0.9805610806,119749,26302,146051,116840,26215,143055,437083850,131510000,568593850,426466000,131075000,557541000,131510000
IV-B,MARINDUQUE,,0.7423045256,0.7304597376,11338,57891,69229,11319,40070,51389,41383700,289455000,330838700,41314350,200350000,241664350,286480000
